流水号，商品条形码，商品名称，价格，数量，收银员，销售时间
201511270001,100001,笔, 3.0, 3, 易爽,2015-11-27 16:10:20
201511270002,100001,笔, 3.0, 2, 易爽,2015-11-27 16:10:26
201511270003,100001,笔, 3.0, 1, 易爽,2015-11-27 16:10:35
201511270004,100003,书包, 100.0, 2, 易爽,2015-11-27 16:10:43
201511270005,100003,书包, 100.0, 1, 易爽,2015-11-27 16:16:31
201511270006,100002,电脑, 3000.0, 2, 易爽,2015-11-27 16:16:43
201511280001,100001,笔, 3.0, 1, 管理员,2015-11-28 13:23:54
201511280002,100003,书包, 100.0, 2, 管理员,2015-11-28 14:25:05
201511290001,100002,电脑, 3000.0, 2, 管理员,2015-11-29 22:12:38
201511290002,100007,拖鞋, 20.0, 2, 管理员,2015-11-29 22:13:03
201511290003,100008,水, 2.0, 1, 管理员,2015-11-29 22:30:23
201511300001,100001,笔, 2.5, 1, 管理员,2015-11-30 21:30:55
201511300002,100005,音响, 50.0, 2, 管理员,2015-11-30 21:31:01
201512010001,100006,眼镜, 199.5, 2, 管理员,2015-12-01 20:27:26
201512040001,100005,音响, 50.0, 2, 易爽,2015-12-04 14:29:36
201512210001,100001,笔, 2.5, 2, 易爽,2015-12-21 16:26:18
